CT1,CT2,CT3,CT_Avg,total_current,state,created_at,vibration,therm_temp
5.27881813,6.544081211,5.485061646,5.769320011,17.30796051,ON,2024-08-05 03:47:17,1634.0,42.13233566
6.092977524,6.496694565,5.853673935,6.147781849,18.44334602,ON,2024-08-05 03:47:22,1858.0,42.2044487
5.528421879,6.606789589,5.380847454,5.838686466,17.51605988,ON,2024-08-05 03:47:27,1927.0,42.29172134
5.635182381,6.589977264,5.845197678,6.023452759,18.07035828,ON,2024-08-05 03:47:32,1923.0,42.38438034
6.020217419,6.577048302,5.873013973,6.156759739,18.47027969,ON,2024-08-05 03:47:37,1751.0,42.51822281
3.521660805,4.513433933,3.84134841,3.958814621,11.87644386,ON,2024-08-05 03:47:42,2045.0,42.49904633
3.633360863,4.415211678,3.875280142,3.97461772,11.92385292,ON,2024-08-05 03:47:47,1829.0,42.55489731
3.954293251,4.868933678,4.610749245,4.477992058,13.43397617,ON,2024-08-05 03:47:52,1765.0,42.69632721
5.491064072,6.813527584,6.046674728,6.117088795,18.35126686,ON,2024-08-05 03:47:57,1913.0,42.73962402
5.785934448,6.389173031,6.308696747,6.161268234,18.4838047,ON,2024-08-05 03:48:02,1565.0,42.81319427
3.521035433,4.404517174,3.8887012,3.938084602,11.81425381,ON,2024-08-05 03:48:07,1802.0,42.88010406
3.450792313,4.550743103,4.006783485,4.002772808,12.0083189,ON,2024-08-05 03:48:12,1920.0,42.92729187
4.031905174,5.066046238,4.330619335,4.476190567,13.4285717,ON,2024-08-05 03:48:17,1726.0,43.11485672
5.383899689,6.461827755,6.08863306,5.978120327,17.9343605,ON,2024-08-05 03:48:22,1780.0,43.10011292
5.799626827,6.318707466,6.086137772,6.068157196,18.20447159,ON,2024-08-05 03:48:27,1698.0,43.24377441
3.445738554,4.385509491,3.903083801,3.911443949,11.73433208,ON,2024-08-05 03:48:32,1766.0,43.23279953
5.756025314,6.141300678,5.588528633,5.828618526,17.4858551,ON,2024-08-05 03:48:37,2026.0,43.42146301
5.549183369,6.696694374,5.675911903,5.973930359,17.92179108,ON,2024-08-05 03:48:42,1761.0,43.53162003
3.824012518,4.439116478,4.113500595,4.125543118,12.37662983,ON,2024-08-05 03:48:47,1797.0,43.48662567
5.31227684,6.808644295,6.063418865,6.061446667,18.18433952,ON,2024-08-05 03:48:52,1933.0,43.60702133
5.248688221,6.661083221,5.696726799,5.868833065,17.60649872,ON,2024-08-05 03:48:57,1845.0,43.6198349
4.302743435,5.497612476,4.619552612,4.806636333,14.41990852,ON,2024-08-05 03:49:02,1824.0,43.68122101
3.455880404,4.457366467,4.059600353,3.990948915,11.97284698,ON,2024-08-05 03:53:32,1927.0,45.12910843
5.215172291,5.98793745,5.417771816,5.54029417,16.62088203,ON,2024-08-05 03:53:37,2029.0,45.07431793
5.501680851,6.189705849,5.906443119,5.865943432,17.59782982,ON,2024-08-05 03:53:42,1984.0,45.04397202
4.095551014,5.174438477,4.669879913,4.646623135,13.93986893,ON,2024-08-05 03:53:47,1605.0,45.10931396
5.584116459,6.738481522,5.734505177,6.019033909,18.0571022,ON,2024-08-05 03:53:52,1641.0,44.98797226
5.648463726,6.3244524,5.882278919,5.951731205,17.85519409,ON,2024-08-05 03:53:57,1727.0,44.85977173
5.875573635,7.006368637,5.798100948,6.226681232,18.68004417,ON,2024-08-05 03:54:02,1844.0,44.9066391
3.545948029,4.462874889,3.855903149,3.954909086,11.86472702,ON,2024-08-05 03:54:07,1838.0,44.74608231
4.282099247,5.220296383,4.363933563,4.62210989,13.86632919,ON,2024-08-05 03:54:12,1937.0,44.73602295
5.803770065,6.504538059,5.678731441,5.995679855,17.98703957,ON,2024-08-05 03:54:17,1761.0,44.7206192
7.065659523,6.966333389,6.478243351,6.836745739,20.51023674,ON,2024-08-05 03:54:22,2114.0,44.74965286
3.479783535,4.479932785,3.685707331,3.881808043,11.64542389,ON,2024-08-05 03:54:27,1904.0,44.73202896
3.469996452,4.245018482,3.784727573,3.833247423,11.49974251,ON,2024-08-05 03:54:32,1808.0,44.82783127
3.552638054,4.350477219,3.768318892,3.890478134,11.6714344,ON,2024-08-05 03:54:37,1873.0,44.77784348
5.374865532,6.669428825,5.439795971,5.828030109,17.48409081,ON,2024-08-05 03:54:42,1796.0,44.85031128
5.401726246,6.701114178,5.781778336,5.961539745,17.88461876,ON,2024-08-05 03:54:47,1584.0,44.85741043
3.56213522,4.556147099,3.641563416,3.919948578,11.75984573,ON,2024-08-05 03:54:52,1840.0,44.9080162
3.873055458,5.369870186,4.380551338,4.541159153,13.62347698,ON,2024-08-05 03:54:57,1913.0,44.94446182
5.726288319,6.547273636,6.063542366,6.112368107,18.3371048,ON,2024-08-05 03:55:02,1697.0,44.95788574
5.612843037,6.395410538,5.530795574,5.846349716,17.53904915,ON,2024-08-05 03:55:07,1954.0,45.01958084
4.537635326,5.848222256,5.082631588,5.156162739,15.46848869,ON,2024-08-05 03:55:12,1648.0,45.10287476
