CT1,CT2,CT3,CT_Avg,total_current,therm_temp,vibration
3.348274708,4.342214584,3.975732088,3.88874054,11.66622162,49.24751282,1782.0
3.377530813,4.29985714,3.81139493,3.829594374,11.48878288,49.28181076,1839.0
3.414215088,4.499313354,4.139318943,4.017615795,12.05284691,49.29972839,1986.0
4.374498367,5.770416737,4.939662457,5.02819252,15.08457756,49.35478973,1693.0
4.435578823,5.300144196,5.105531693,4.947084904,14.84125519,49.464077,1989.0
4.673385143,5.470209122,5.542319775,5.228638172,15.68591499,49.32556915,1894.0
3.815609932,4.970029831,4.15872097,4.314786911,12.94436073,49.33516312,1637.0
4.886276722,5.568328857,4.978312492,5.144305706,15.43291759,49.35662842,1920.0
4.599781513,5.97880888,5.208703518,5.262431622,15.78729439,49.394104,1855.0
3.460026979,4.514544964,3.87953043,3.951367617,11.85410309,49.41566467,1851.0
3.423225403,4.797145367,4.232064724,4.150812149,12.45243645,49.44114685,1815.0
5.002824783,5.720828056,4.945660114,5.223104477,15.66931343,49.44528961,1794.0
4.944075584,5.734790802,4.854926586,5.177930832,15.5337925,49.44483185,1970.0
3.68168211,4.308047295,3.616245508,3.868658304,11.60597515,49.51504135,1872.0
3.460636377,4.428886414,3.65289712,3.847473145,11.54241943,49.58914948,1778.0
4.543424606,6.025788784,5.156132698,5.241782188,15.72534657,49.69916153,1999.0
3.346758842,4.37296772,4.061965942,3.927230835,11.7816925,49.67268372,1941.0
3.237490654,4.41150856,3.964426041,3.871141672,11.61342525,49.6410141,1899.0
3.416543245,4.599389076,3.825140238,3.947024107,11.84107208,49.70459366,1798.0
3.450392485,4.599399567,3.666069269,3.905287027,11.71586132,49.77173233,1841.0
3.358745813,4.575463295,3.824243307,3.919484138,11.75845242,49.80789566,1955.0
3.449964762,4.548163891,3.723757505,3.907295465,11.72188663,49.93714523,1865.0
3.505739689,4.412920952,3.65236783,3.857009649,11.57102871,49.92225647,1962.0
4.640492916,5.722613811,5.3707757,5.244627476,15.7338829,50.01874924,1712.0
5.060855389,5.874655724,4.983128071,5.306212902,15.91863823,49.98176575,1749.0
4.855852604,6.133620262,5.40488863,5.464787006,16.3943615,50.04287338,1759.0
3.526355505,4.217266083,4.089689732,3.944437027,11.83331108,50.01321411,1601.0
4.511081696,5.588385105,4.92820406,5.009223461,15.02766991,50.04634094,2106.0
4.883028984,5.524806976,5.418771744,5.27553606,15.8266077,50.0831337,1605.0
3.39641118,4.190794945,3.717082262,3.76809597,11.30428791,50.13587189,1901.0
3.785063267,4.770513058,4.066344738,4.207307339,12.62192154,50.1711731,1885.0
4.782336712,5.741960526,5.860643387,5.461647034,16.3849411,50.20471573,1680.0
4.812794209,5.80842638,5.273097038,5.298105717,15.89431763,50.23900223,1749.0
3.2499125,4.087872028,3.982438803,3.773407936,11.32022381,50.27915955,1774.0
4.066984177,4.504471779,4.080033302,4.217163086,12.65148926,50.41801071,1712.0
4.842206001,5.497179985,5.462542534,5.267309666,15.80192852,50.4094162,1822.0
4.808602333,5.879318714,4.997904301,5.228608608,15.68582535,50.4091835,1713.0
3.220401049,4.232571602,4.095500469,3.849491119,11.54847336,50.53263092,1970.0
3.252545357,4.075948715,4.018050194,3.782181501,11.34654427,50.54972076,1859.0
3.600803614,4.614599228,4.271104336,4.16216898,12.48650742,50.57795334,1771.0
4.02690506,5.135453224,4.770840168,4.644399643,13.93319893,50.64635086,1771.0
3.576877832,4.827016354,3.933545351,4.112479687,12.33743954,50.62836838,1931.0
3.35218811,4.322110176,4.035403728,3.903233767,11.70970154,50.66070557,1871.0
3.869374514,5.26213789,4.530958176,4.55415678,13.66247082,50.70034409,1840.0
4.11215353,5.251022339,4.65148592,4.671554089,14.01466179,50.7526207,1922.0
4.218046188,5.2932868,4.55373764,4.688356876,14.06507111,50.81544495,1979.0
3.416927099,4.105072975,3.886796474,3.802932024,11.40879631,50.84233856,1861.0
3.303439617,3.957305431,3.870321274,3.71035552,11.13106632,50.85303116,1874.0
3.39434433,4.19877243,3.708010912,3.767042398,11.30112743,50.90196228,1885.0
3.345743895,4.094480515,3.874630451,3.771618605,11.31485558,50.9589386,1963.0
3.492536306,3.961697102,3.847173452,3.76713562,11.30140686,51.00528336,1904.0
3.308358669,4.302480698,3.719835758,3.776891708,11.33067513,51.05662537,1985.0
4.058612823,5.376223087,4.965483665,4.800106525,14.4003191,51.0797348,2098.0
4.336836815,5.236204147,4.792773724,4.788604736,14.36581421,51.09087372,1675.0
3.813011169,4.461103916,3.772526264,4.015546799,12.0466404,51.13845444,1850.0
3.427371979,4.129845142,3.804460764,3.787225962,11.36167812,51.18585968,1680.0
4.383466244,5.191081524,5.055643082,4.876730442,14.63019085,51.21956635,1941.0
4.276002407,5.143158913,4.932538986,4.783899784,14.35169983,51.24875641,1769.0
3.364600897,4.565363884,4.226557255,4.052174091,12.15652275,51.27744675,1793.0
3.372822523,4.305859089,3.965152025,3.8812778,11.64383316,51.30515289,1968.0
3.390942812,4.231842518,3.611297607,3.744694471,11.23408318,51.34368896,1936.0
3.33474493,4.337688446,3.691457748,3.787963867,11.3638916,51.40697861,1970.0
3.455856085,4.251936913,3.515539408,3.741110802,11.22333241,51.4614563,1872.0
3.365919828,4.512083054,3.599947214,3.825983286,11.4779501,51.4822197,1882.0
5.831627369,6.656105518,5.676798344,6.054843903,18.16453171,51.99494553,1955.0
5.670403481,6.620088577,5.973803997,6.088098526,18.26429558,52.03807831,1690.0
5.596480846,6.132899284,5.759888649,5.82975626,17.48926926,52.09746552,1711.0
5.236160278,6.651879311,6.106015682,5.998018265,17.99405479,52.11240005,1679.0
4.605579376,5.707072258,4.75629425,5.022982121,15.06894588,52.14734268,1835.0
